"","nest","population","species","lat","lon","filename_forward","PCR_run","SRA_Run","readID"
"BC11","A_5","A","sarasinorum","14.7825","74.5723","BC11_S11_L001_R1_001.fastq.gz",0,"SRR6489689","BC11"
"BC120","RAO_37","RAO","sarasinorum","27.6985","76.7439","BC120_S120_L001_R1_001.fastq.gz",0,"SRR6489717","BC120"
"BC121","RAO_37","RAO","sarasinorum","27.6985","76.7439","BC121_S121_L001_R1_001.fastq.gz",0,"SRR6489718","BC121"
"BC122","RAO_37","RAO","sarasinorum","27.6985","76.7439","BC122_S122_L001_R1_001.fastq.gz",0,"SRR6489715","BC122"
"BC123","RAO_37","RAO","sarasinorum","27.6985","76.7439","BC123_S123_L001_R1_001.fastq.gz",0,"SRR6489716","BC123"
"BC124","RAO_37","RAO","sarasinorum","27.6985","76.7439","BC124_S124_L001_R1_001.fastq.gz",0,"SRR6489723","BC124"
"BC125","RAO_38","RAO","sarasinorum","27.6985","76.7439","BC125_S125_L001_R1_001.fastq.gz",0,"SRR6489724","BC125"
"BC126","RAO_38","RAO","sarasinorum","27.6985","76.7439","BC126_S126_L001_R1_001.fastq.gz",0,"SRR6489702","BC126"
"BC12","A_5","A","sarasinorum","14.7825","74.5723","BC12_S12_L001_R1_001.fastq.gz",0,"SRR6489688","BC12"
"BC130","RAO_39","RAO","sarasinorum","27.6985","76.7439","BC130_S130_L001_R1_001.fastq.gz",0,"SRR6489701","BC130"
"BC136","RAO_40","RAO","sarasinorum","27.6985","76.7439","BC136_S136_L001_R1_001.fastq.gz",0,"SRR6489704","BC136"
"BC138","RAO_40","RAO","sarasinorum","27.6985","76.7439","BC138_S138_L001_R1_001.fastq.gz",0,"SRR6489703","BC138"
"BC13","A_5","A","sarasinorum","14.7825","74.5723","BC13_S13_L001_R1_001.fastq.gz",0,"SRR6489678","BC13"
"BC143","RAO_41","RAO","sarasinorum","27.6985","76.7439","BC143_S143_L001_R1_001.fastq.gz",0,"SRR6489699","BC143"
"BC144","RAO_41","RAO","sarasinorum","27.6985","76.7439","BC144_S144_L001_R1_001.fastq.gz",0,"SRR6489698","BC144"
"BC149","D_5","D","sarasinorum","13.0259","77.5643","BC149_S149_L001_R1_001.fastq.gz",0,"SRR6489640","BC149"
"BC14","A_5","A","sarasinorum","14.7825","74.5723","BC14_S14_L001_R1_001.fastq.gz",0,"SRR6489679","BC14"
"BC164","D_10","D","sarasinorum","13.0259","77.5643","BC164_S164_L001_R1_001.fastq.gz",0,"SRR6489657","BC164"
"BC165","D_10","D","sarasinorum","13.0259","77.5643","BC165_S165_L001_R1_001.fastq.gz",0,"SRR6489656","BC165"
"BC166","D_10","D","sarasinorum","13.0259","77.5643","BC166_S166_L001_R1_001.fastq.gz",0,"SRR6489642","BC166"
"BC174","D_24","D","sarasinorum","13.0259","77.5643","BC174_S174_L001_R1_001.fastq.gz",0,"SRR6489644","BC174"
"BC175","D_24","D","sarasinorum","13.0259","77.5643","BC175_S175_L001_R1_001.fastq.gz",0,"SRR6489645","BC175"
"BC176","D_24","D","sarasinorum","13.0259","77.5643","BC176_S176_L001_R1_001.fastq.gz",0,"SRR6489638","BC176"
"BC179","SriLanka_1","SriLanka","sarasinorum","6.180875","81.049816","BC179_S179_L001_R1_001.fastq.gz",0,"SRR6489700","BC179"
"BC17","A_14","A","sarasinorum","14.7825","74.5723","BC17_S17_L001_R1_001.fastq.gz",0,"SRR6489707","BC17"
"BC18","A_14","A","sarasinorum","14.7825","74.5723","BC18_S18_L001_R1_001.fastq.gz",0,"SRR6489706","BC18"
"BC19","A_14","A","sarasinorum","14.7825","74.5723","BC19_S19_L001_R1_001.fastq.gz",0,"SRR6489705","BC19"
"BC1","A_1","A","sarasinorum","14.7825","74.5723","BC1_S1_L001_R1_001.fastq.gz",0,"SRR6489712","BC1"
"BC20","A_14","A","sarasinorum","14.7825","74.5723","BC20_S20_L001_R1_001.fastq.gz",0,"SRR6489714","BC20"
"BC21","A_24","A","sarasinorum","14.7825","74.5723","BC21_S21_L001_R1_001.fastq.gz",0,"SRR6489696","BC21"
"BC22","A_24","A","sarasinorum","14.7825","74.5723","BC22_S22_L001_R1_001.fastq.gz",0,"SRR6489691","BC22"
"BC23","A_24","A","sarasinorum","14.7825","74.5723","BC23_S23_L001_R1_001.fastq.gz",0,"SRR6489690","BC23"
"BC24","A_24","A","sarasinorum","14.7825","74.5723","BC24_S24_L001_R1_001.fastq.gz",0,"SRR6489693","BC24"
"BC25","A_24","A","sarasinorum","14.7825","74.5723","BC25_S25_L001_R1_001.fastq.gz",0,"SRR6489692","BC25"
"BC28","B_1","B","sarasinorum","15.4872","74.976","BC28_S28_L001_R1_001.fastq.gz",0,"SRR6489681","BC28"
"BC2","A_1","A","sarasinorum","14.7825","74.5723","BC2_S2_L001_R1_001.fastq.gz",0,"SRR6489711","BC2"
