"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ASV_44";"Bacteria";"Tenericutes";"Mollicutes";"Entomoplasmatales";"Entomoplasmataceae";"Entomoplasma";"Entomoplasma"
"ASV_45";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Leucobacter";"tardus"
"ASV_46";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium";"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_47";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Weeksellaceae";"Weeksellaceae";"Weeksellaceae"
"ASV_48";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Paracoccus";"Paracoccus"
"ASV_49";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium";"ceti"
"ASV_50";"Bacteria";"Bacteroidetes";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Sphingobacterium";"daejeonense"
"ASV_51";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Brevundimonas";"terrae"
"ASV_52";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Stenotrophomonas";"Stenotrophomonas"
"ASV_53";"Bacteria";"Tenericutes";"Mollicutes";"Entomoplasmatales";"Entomoplasmataceae";"Entomoplasma";"Entomoplasma"
"ASV_54";"Bacteria";"Actinobacteria";"Actinobacteria";"Corynebacteriales";"Nocardiaceae";"Rhodococcus";"Rhodococcus"
"ASV_55";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";"Pseudomonas"
"ASV_56";"Bacteria";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Spirochaetaceae";"Spirochaetaceae"
"ASV_57";"Bacteria";"Actinobacteria";"Actinobacteria";"Corynebacteriales";"Nocardiaceae";"Gordonia";"Gordonia"
"ASV_58";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Leucobacter";"iarius"
"ASV_59";"Bacteria";"Bacteroidetes";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Sphingobacterium";"lactis"
"ASV_60";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter"
"ASV_61";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Orbales";"Orbaceae";"Orbaceae";"Orbaceae"
"ASV_62";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Brucella";"Brucella"
"ASV_63";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus"
"ASV_64";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Leucobacter";"Leucobacter"
"ASV_65";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Enterobacter";"Enterobacter"
"ASV_66";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Proteus";"Proteus"
"ASV_67";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus"
"ASV_68";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Enterobacter";"Enterobacter"
